id,Country,accomodation,accomodation_1,accomodation_2,accomodation_3,accomodation_4,accomodation_5,food,food_expensive
SRB,Serbia,13.79,27.59,40.23,54.02,97.7,182.76,6.21,15.69
SVK,Slovakia,13.79,33.33,45.98,64.37,79.31,141.38,7.82,15.69
SVN,Slovenia,17.24,58.62,64.37,91.95,116.09,228.74,7.82,23.56
SOM,Somalia,0,0,0,0,0,0,9.2,17.24
ZAF,South Africa,19.54,66.67,91.95,117.24,244.83,327.59,4.83,18.62
KOR,South Korea,22.99,91.95,94.25,112.64,168.97,286.21,6.44,18.79
ESP,Spain,19.54,47.13,49.43,50.57,82.76,188.51,10.23,31.38
LKA,Sri Lanka,0,20.69,42.53,49.43,81.61,126.44,5.29,8.79
SDN,Sudan,0,0,0,0,0,0,12.53,8.39
SUR,Suriname,0,0,34.48,71.26,137.93,164.37,6.9,17.24
SWZ,Swaziland,0,0,21.84,0,127.59,0,3.68,11.95
SWE,Sweden,33.33,66.67,91.95,124.14,137.93,211.49,11.38,43.97
CHE,Switzerland,47.13,100,119.54,149.43,182.76,352.87,16.78,64.54
SYR,Syria,0,0,0,0,0,0,06.09,13.33
TWN,Taiwan,0,17.24,54.02,73.56,131.03,385.06,4.71,11.38
TJK,Tajikistan,0,0,0,40.23,64.37,139.08,8.39,7.18
TZA,Tanzania,0,49.43,54.02,96.55,112.64,128.74,08.05,07.07
THA,Thailand,13.79,33.33,34.48,47.13,90.8,180.46,5.29,9.25
BHS,The Bahamas,0,48.28,80.46,237.93,245.98,425.29,6.9,45.98
TTO,Trinidad and T,0,0,88.51,143.68,185.06,206.9,7.24,22.53
TUN,Tunisia,24.14,18.39,35.63,54.02,55.17,94.25,5.75,10.86
TUR,Turkey,28.74,28.74,40.23,44.83,60.92,80.46,6.21,12.87
TKM,Turkmenistan,0,0,0,0,0,0,10.34,14.37
UGA,Uganda,0,39.08,112.64,151.72,163.22,248.28,7.36,9.14
UKR,Ukraine,10.34,24.14,35.63,45.98,87.36,290.8,4.6,14.37
ARE,United Arab Em,0,27.59,81.61,121.84,178.16,251.72,6.32,23.45
GBR,United Kingdom,51.72,73.56,81.61,106.9,134.48,511.49,9.54,42.07
USA,United States,48.28,117.24,147.13,178.16,210.34,289.66,6.9,25.86
URY,Uruguay,0,42.53,67.82,73.56,87.36,105.75,10.23,24.89
UZB,Uzbekistan,0,29.89,40.23,44.83,66.67,67.82,4.6,14.37
VUT,Vanuatu,0,12.64,39.08,58.62,198.85,239.08,6.55,15
VEN,Venezuela,0,14.94,0,0,81.61,82.76,17.24,40.17
VNM,Vietnam,0,10.34,24.14,54.02,117.24,139.08,4.37,8.16
YEM,Yemen,0,0,0,0,0,0,08.05,8.62
ZMB,Zambia,0,0,29.89,40.23,158.62,208.05,11.49,25.34
ZWE,Zimbabwe,0,59.77,83.91,134.48,160.92,419.54,9.2,17.24
