division,sub-division,country,city,zip,lat,lon
Engineering & Technologies,Bi GreyLogix,Germany,Flensburg,24941,54.793743,9.446996
Engineering & Technologies,Bi GreyLogix,Germany,Brunsbüttel,25541,53.89889,9.133885
Engineering & Technologies,Bi GreyLogix,Germany,Hamburg,20097,53.551085,9.993682
Engineering & Technologies,Bi GreyLogix,Germany,Markranstädt,4420,51.304616,12.221126
Engineering & Technologies,Bi GreyLogix,Germany,Leverkusen,51375,51.045925,7.01922
Engineering & Technologies,Bi GreyLogix,Germany,Ludwigshafen,67056,49.47741,8.44518
Engineering & Technologies,Bi GreyLogix,Germany,Neustadt an der Weinstraße,67433,49.350186,8.148689
Engineering & Technologies,Bi GreyLogix,Germany,Karlsruhe,76187,49.00689,8.403653
Engineering & Technologies,Bi Industrietechnik Salzburg,Germany,Dresden,1067,51.050409,13.737262
Engineering & Technologies,Bi Industrietechnik Salzburg,Germany,Heidelberg,68723,49.398752,8.672434
Engineering & Technologies,Bi Industrietechnik Salzburg,Germany,Penzberg,82377,47.75612,11.369802
Engineering & Technologies,Bi Industrietechnik Salzburg,Germany,Rhineland,42781,50.118346,7.308953
Engineering & Technologies,Bi Industrietechnik Salzburg,Germany,Stuttgart,70565,48.775846,9.182932
Engineering & Technologies,Bi Noell,Germany,Würzburg,97080,49.791304,9.953355
Engineering & Technologies,Bi Peters Engineering,Germany,Ludwigshafen,D-67069,49.47741,8.44518
Engineering & Technologies,Bi Peters Engineering,Germany,Mainz-Hechtsheim,D-55129,49.959258,8.267416
Engineering & Technologies,Bi Peters Engineering,Germany,Schwarzheide,1987,51.477261,13.856191
Engineering & Technologies,Bi Peters Engineering,Germany,Duisburg,D-47249,51.434408,6.762329
Engineering & Technologies,Bi Rohrleitungsbau,Germany,Hamburg,21107,53.551085,9.993682
Engineering & Technologies,Bi Rohrleitungsbau,Germany,Guben,3172,51.951486,14.695565
Engineering & Technologies,Bi Rohrleitungsbau,Germany,Bitterfeld-Wolfen,6749,51.6246,12.307993
Engineering & Technologies,Bi Rohrleitungsbau,Germany,Ludwigshafen,67059,49.47741,8.44518
Engineering & Technologies,Bi Rohrleitungsbau,Germany,Burghausen,84489,48.172561,12.831075
Engineering & Technologies,Bi Rotring Engineering,Germany,Buxtehude,21614,53.467486,9.691574
Engineering & Technologies,Bi Rotring Engineering,Germany,Sulingen,,52.683341,8.810926
Maintenance. Modifications & Operations,Bi arnholdt,Germany,Gelsenkirchen,45892,51.517744,7.085717
Maintenance. Modifications & Operations,Bi arnholdt,Germany,Duisburg,47053,51.434408,6.762329
Maintenance. Modifications & Operations,Bi arnholdt,Germany,Gelsenkirchen,45892,51.517744,7.085717
Maintenance. Modifications & Operations,Bi arnholdt,Germany,Großräschen,1983,51.590745,14.008556
Maintenance. Modifications & Operations,Bi arnholdt,Germany,Hofheim-Wallau,65719,50.061996,8.372318
Maintenance. Modifications & Operations,Bi arnholdt,Germany,Recklinghausen,45665,51.614065,7.197945
Maintenance. Modifications & Operations,Bi Industrial Services Schweiz,Germany,Grenzach-Wyhlen,79639,47.552355,7.658088
Maintenance. Modifications & Operations,Bi Maintenance,Germany,Heidelberg,69123,49.398752,8.672434
Maintenance. Modifications & Operations,Bi Maintenance,Germany,Hemmingstedt,25770,54.14727,9.072098
Maintenance. Modifications & Operations,Bi Maintenance,Germany,Brunsbüttel,25541,53.89889,9.133885
Maintenance. Modifications & Operations,Bi Maintenance,Germany,Broderstorf,18184,54.081318,12.262614
Maintenance. Modifications & Operations,Bi Maintenance,Germany,Hamburg,20539,53.551085,9.993682
Maintenance. Modifications & Operations,Bi Maintenance,Germany,Minden,32423,52.296492,8.894921
Maintenance. Modifications & Operations,Bi Maintenance,Germany,Wittenberg,6886,51.873983,12.627966
Maintenance. Modifications & Operations,Bi Maintenance,Germany,Bitterfeld-Wolfen,6803,51.6246,12.307993
Maintenance. Modifications & Operations,Bi Maintenance,Germany,Bohlen,4575,51.200695,12.387038
Maintenance. Modifications & Operations,Bi Maintenance,Germany,Schkopau,6258,51.390075,11.985151
Maintenance. Modifications & Operations,Bi Maintenance,Germany,Leuna,6237,51.323266,12.024228
Maintenance. Modifications & Operations,Bi Maintenance,Germany,Uerdingen,47829,51.354788,6.642895
Maintenance. Modifications & Operations,Bi Maintenance,Germany,Neuss,41468,51.204197,6.687951
Maintenance. Modifications & Operations,Bi Maintenance,Germany,Dormagen,41538,51.093685,6.828911
Maintenance. Modifications & Operations,Bi Maintenance,Germany,Leverkusen,51368,51.045925,7.01922
Maintenance. Modifications & Operations,Bi Maintenance,Germany,Bergisch Gladbach,51439,50.992309,7.128621
Maintenance. Modifications & Operations,Bi Maintenance,Germany,Heinsberg,52525,51.060038,6.118373
Maintenance. Modifications & Operations,Bi Maintenance,Germany,Düren,52355,50.802951,6.481105
Maintenance. Modifications & Operations,Bi Maintenance,Germany,Frankfurt,65926,50.110922,8.682127
Maintenance. Modifications & Operations,Bi Maintenance,Germany,Ludwigshafen,67065,49.47741,8.44518
Maintenance. Modifications & Operations,Bi Maintenance,Germany,Edenkoben,67480,49.283333,8.133333
Maintenance. Modifications & Operations,Bi Maintenance,Germany,Mannheim,68219,49.487459,8.466039
Maintenance. Modifications & Operations,Bi Maintenance,Germany,Heidelberg,69123,49.398752,8.672434
Maintenance. Modifications & Operations,Bi Maintenance,Germany,Leimen,69181,49.34909,8.687885
Maintenance. Modifications & Operations,Bi Maintenance,Germany,Heidenheim,89522,48.689396,10.161095
Maintenance. Modifications & Operations,Bi Maintenance,Germany,Gersthofen,86368,48.42425,10.876347
Maintenance. Modifications & Operations,Bi OKI Isoliertechnik,Germany,Wilhelmshaven,,53.53234,8.106872
Maintenance. Modifications & Operations,Bi OKI Isoliertechnik,Germany,Schwedt,,53.06247,14.273464
Maintenance. Modifications & Operations,Bi OKI Isoliertechnik,Germany,Salzgitter,,52.137866,10.389913
Maintenance. Modifications & Operations,Bi OKI Isoliertechnik,Germany,Bernburg,,51.783358,11.753733
Maintenance. Modifications & Operations,Bi OKI Isoliertechnik,Germany,Bitterfeld,,51.626533,12.313306
Maintenance. Modifications & Operations,Bi OKI Isoliertechnik,Germany,Oberhausen,,51.496334,6.863776
Maintenance. Modifications & Operations,Bi OKI Isoliertechnik,Germany,Dusseldorf,,51.227741,6.773456
Maintenance. Modifications & Operations,Bi OKI Isoliertechnik,Germany,Leverkusen,,51.045925,7.01922
Maintenance. Modifications & Operations,Bi OKI Isoliertechnik,Germany,Dormagen,,51.093685,6.828911
Maintenance. Modifications & Operations,Bi OKI Isoliertechnik,Germany,Frankfurt,,50.110922,8.682127
Maintenance. Modifications & Operations,Bi OKI Isoliertechnik,Germany,Chemnitz,,50.827845,12.92137
Maintenance. Modifications & Operations,Bi OKI Isoliertechnik,Germany,Frankfurt,,50.110922,8.682127
Maintenance. Modifications & Operations,Bi OKI Isoliertechnik,Germany,Bad Friedrichshall,,49.234394,9.207974
Maintenance. Modifications & Operations,Bi OKI Isoliertechnik,Germany,Ebhaisen,,48.587869,8.675462
Maintenance. Modifications & Operations,Bi OKI Isoliertechnik,Germany,Siegenburg,,48.753735,11.848565
Maintenance. Modifications & Operations,Bi OKI Isoliertechnik,Germany,Kempten,,47.72857,10.315783
Maintenance. Modifications & Operations,Bi OKI Isoliertechnik,Germany,Simbach am Inn,,48.267586,13.027363
Maintenance. Modifications & Operations,Bi OKI Isoliertechnik,Germany,Burghausen,,48.172561,12.831075
Maintenance. Modifications & Operations,Bi OKI Isoliertechnik,Germany,Marl,,51.659123,7.106022
Maintenance. Modifications & Operations,Bi OKI Isoliertechnik,Germany,Hamburg,22113,53.551085,9.993682
Maintenance. Modifications & Operations,Bi OKI Isoliertechnik,Germany,Dortmund,44379,51.513587,7.465298
Maintenance. Modifications & Operations,Bi OKI Isoliertechnik,Germany,Speyer,67346,49.317277,8.441217
Maintenance. Modifications & Operations,Bi OKI Isoliertechnik,Germany,Leuna,6237,51.323266,12.024228
Maintenance. Modifications & Operations,Bi OKI Isoliertechnik,Germany,Puchheim,82178,48.163226,11.342161
Maintenance. Modifications & Operations,Bi OKI Isoliertechnik,Germany,Pforzheim,75181,48.892186,8.694629
Other Operations division,Bi FRB,Germany,Voerde-Friedrichsfeld,46562,51.629399,6.657988
Other Operations division,Bi FRB,Germany,Stuttgart,70565,48.775846,9.182932
Other Operations division,Bi FRB,Germany,bursting land,15910,48.241942,10.083201
Other Operations division,Bi FRB,Germany,Stadthagen,31655,52.32521,9.199823
Other Operations division,Bi Gerätetechnik,Germany,Voerde,46562,51.600521,6.654411
