id,Country,accomodation_5,accomodation_4,accomodation_3,accomodation_2,accomodation_1,accomodation,food_expensive,food,alcohol,culture,transportation,transportation_taxi,shopping,average_accomodation,average_food,average_transportation,average_food_x2,total_average,total_expensive,total_cheap
BRN,Brunei,154.02,86.21,73.56,56.32,0,19.54,11.32,6.32,10.46,0,1.84,5.52,87.21,64.94,8.82,3.68,17.64,173.65,268.53,125.37
BGR,Bulgaria,100,68.97,50.57,35.63,28.74,11.49,16.09,5.63,1.61,07.01,1.61,4.14,48.14,49.23,10.86,2.88,21.72,114.62,176.99,75.49
MMR,Burma,88.51,45.98,66.67,45.98,28.74,0,8.28,5.75,1.15,0,0.46,10.34,18.84,45.98,07.02,5.4,14.03,82.17,127.12,26.2
BDI,Burundi,160.92,82.76,57.47,0,0,0,22.59,09.08,2.41,0,6.9,24.83,54.3,50.19,15.84,15.87,31.67,154.5,265.05,72.69
KHM,Cambodia,257.47,113.79,34.48,26.44,18.39,5.75,8.62,4.6,1.15,9.31,2.53,6.9,14.53,76.05,6.61,4.72,13.22,115.19,297.98,37.87
CMR,Cameroon,416.09,136.78,78.16,60.92,20.69,0,10.06,2.18,1.49,0,2.3,6.9,29.65,118.77,6.12,4.6,12.24,163.71,464.19,35.62
CAN,Canada,197.7,180.46,128.74,75.86,71.26,22.99,30.98,8.28,5.17,21.84,6.21,11.03,45.93,112.84,19.63,8.62,39.26,211.64,312.65,110.42
TCD,Chad,80.46,0,164.37,0,0,0,2.87,20.69,1.15,0,0,0,0,40.81,11.78,0,23.56,41.96,84.48,21.84
CHL,Chile,408.05,259.77,82.76,73.56,0,0,20.4,7.13,1.84,18.39,2.53,12.41,52.44,137.36,13.77,7.47,27.53,232.44,513.53,82.33
CHN,China,149.43,93.1,62.07,50.57,31.03,11.49,14.08,5.29,1.49,10.46,0.69,2.76,64.42,66.28,9.69,1.73,19.37,147.83,242.64,93.84
COL,Colombia,136.78,103.45,59.77,39.08,37.93,12.64,13.45,7.24,1.38,11.49,1.84,11.72,60.93,64.94,10.35,6.78,20.69,159.08,235.75,95.52
CRI,Costa Rica,120.69,101.15,48.28,44.83,33.33,10.34,22.7,08.05,2.3,18.39,1.84,7.59,56.86,59.77,15.38,4.72,30.75,151.47,228.53,97.78
HRV,Croatia,121.84,109.2,79.31,51.72,50.57,18.39,20.52,7.13,2.64,8.85,4.83,6.21,51.51,71.84,13.83,5.52,27.65,151.4,211.57,93.35
CUB,Cuba,311.49,155.17,68.97,55.17,0,90.8,8.62,6.9,1.15,1.61,0,6.9,14.77,113.6,7.76,3.45,15.52,141.48,344.54,115.23
CYP,Cyprus,166.67,72.41,89.66,47.13,52.87,17.24,39.25,9.43,4.71,11.03,4.6,9.66,59.77,74.33,24.34,7.13,48.68,171.23,291.09,106.78
CZE,Czech Republic,245.98,127.59,81.61,32.18,25.29,19.54,14.31,6.9,1.61,11.49,2.76,8.97,48.37,88.7,10.61,5.87,21.21,167.76,330.73,90.67
COD,Democratic Rep,298.85,171.26,91.95,57.47,114.94,0,34.48,15.52,2.3,0,0.69,13.79,123.72,122.41,25,7.24,50,270.15,473.14,142.23
DNK,Denmark,233.33,152.87,120.69,96.55,73.56,34.48,57.59,13.68,8.39,48.28,8.74,17.93,68.6,118.58,35.64,13.34,71.27,283.86,434.12,182.17
DJI,Djibouti,267.82,172.41,85.06,0,0,0,18.28,3.22,6.32,0,7.59,11.72,0,87.55,10.75,9.66,21.5,122.83,304.14,17.13
DOM,Dominican Repu,1520.69,200,93.1,48.28,45.98,27.59,13.33,7.47,02.07,26.44,1.38,8.28,65.58,322.61,10.4,4.83,20.8,431.19,1636.39,130.53
ECU,Ecuador,240.23,137.93,60.92,22.99,14.94,9.2,8.91,5.75,1.15,16.09,0.46,6.9,51.28,81.04,7.33,3.68,14.66,160.6,324.56,83.93
EGY,Egypt,172.41,77.01,51.72,45.98,13.79,6.9,12.41,5.75,1.95,6.21,0.46,1.38,63.49,61.3,09.08,0.92,18.16,135.71,257.85,84.76
SLV,El Salvador,171.26,124.14,58.62,22.99,0,11.49,15.8,06.09,1.72,28.74,0.69,20.69,49.19,64.75,10.95,10.69,21.89,176.47,287.4,97.92
GNQ,Equatorial Gui,379.31,0,180.46,0,0,0,34.14,7.59,04.02,0,0.92,0.69,92.09,93.3,20.87,0.81,41.73,191.82,510.25,104.62
EST,Estonia,156.32,109.2,81.61,50.57,36.78,17.24,23.56,7.82,3.56,5.17,3.22,5.52,68.84,75.29,15.69,4.37,31.38,165.97,262.97,105.85
ETH,Ethiopia,150.57,103.45,50.57,34.48,0,17.24,11.49,5.75,1.15,3.45,0.69,17.24,29.07,59.39,8.62,8.97,17.24,119.95,212.97,57.35
FJI,Fiji,565.52,322.99,158.62,88.51,0,0,12.24,08.05,2.41,26.44,1.15,4.14,30.58,189.27,10.15,2.65,20.29,256.64,641.33,68.63
FIN,Finland,193.1,116.09,112.64,93.1,79.31,31.03,47.07,11.03,7.82,24.14,8.74,14.48,50.35,104.21,29.05,11.61,58.1,221.35,336.96,133.11
